timestamps,TP9,AF7,AF8,TP10,Right AUX
1741704924.895,-197.754,-39.551,-29.785,-112.793,0.000
1741704924.899,999.512,5.859,-29.785,999.512,0.000
1741704924.903,953.613,-7.812,-39.062,712.402,0.000
1741704924.907,934.082,-22.949,-43.457,550.781,0.000
1741704924.911,910.645,-25.879,-35.645,937.500,0.000
1741704924.915,999.512,-31.738,-35.645,999.512,0.000
1741704924.919,172.363,-69.824,-51.270,35.645,0.000
1741704924.923,-1000.000,-96.191,-57.129,-1000.000,0.000
1741704924.927,-981.934,-68.848,-44.434,-966.797,0.000
1741704924.930,-980.469,-50.293,-38.086,-995.117,0.000
1741704924.934,-979.980,-46.875,-47.363,-951.660,0.000
1741704924.938,-985.352,-55.176,-48.340,-1000.000,0.000
1741704924.942,-1000.000,-53.223,-42.969,-835.938,0.000
1741704924.946,116.699,-18.555,-37.598,488.770,0.000
1741704924.950,999.512,-0.488,-43.945,999.512,0.000
1741704924.954,215.820,-39.062,-55.176,83.984,0.000
1741704924.958,-1000.000,-68.848,-46.387,-1000.000,0.000
1741704924.962,-307.129,-38.574,-31.738,-198.730,0.000
1741704924.966,999.512,-8.301,-41.992,999.512,0.000
1741704924.970,558.105,-21.484,-51.758,293.945,0.000
1741704924.973,-1000.000,-49.316,-44.434,-1000.000,0.000
1741704924.977,-781.738,-42.969,-43.945,-442.871,0.000
1741704924.981,889.648,-9.277,-52.246,999.512,0.000
1741704924.985,766.602,-14.648,-54.688,427.246,0.000
1741704924.989,-769.531,-60.059,-56.641,-1000.000,0.000
1741704924.993,-1000.000,-62.012,-55.664,-932.129,0.000
1741704924.997,84.473,-3.418,-42.480,470.215,0.000
1741704925.001,999.512,12.695,-45.410,999.512,0.000
1741704925.005,162.598,-45.898,-55.176,-238.281,0.000
1741704925.009,-1000.000,-74.219,-42.480,-1000.000,0.000
1741704925.012,-219.238,-30.762,-33.691,120.605,0.000
1741704925.016,999.512,-2.930,-38.574,999.512,0.000
1741704925.020,229.004,-41.992,-44.922,17.090,0.000
1741704925.024,-1000.000,-68.848,-50.293,-1000.000,0.000
1741704925.028,-453.125,-33.691,-41.504,-268.066,0.000
1741704925.032,999.512,0.000,-41.016,999.512,0.000
1741704925.036,441.895,-27.832,-52.734,254.395,0.000
1741704925.040,-1000.000,-68.848,-49.316,-1000.000,0.000
1741704925.044,-801.270,-50.293,-36.133,-489.258,0.000
1741704925.048,778.809,5.371,-33.203,999.512,0.000
1741704925.052,905.762,-10.254,-47.363,552.734,0.000
1741704925.055,-622.070,-60.059,-42.969,-1000.000,0.000
1741704925.059,-1000.000,-52.734,-30.273,-857.910,0.000
1741704925.063,116.699,-16.113,-31.250,569.336,0.000
1741704925.067,999.512,-2.441,-38.086,999.512,0.000
1741704925.071,197.754,-35.156,-44.922,-41.504,0.000
1741704925.075,-1000.000,-65.918,-40.039,-1000.000,0.000
1741704925.079,-743.652,-48.340,-36.621,-369.141,0.000
1741704925.083,896.973,-11.230,-42.969,999.512,0.000
1741704925.087,517.578,-17.090,-46.875,258.301,0.000
1741704925.091,-1000.000,-57.129,-42.969,-1000.000,0.000
1741704925.095,-459.961,-42.969,-40.039,-265.625,0.000
1741704925.098,999.512,-12.695,-42.480,999.512,0.000
1741704925.102,395.996,-39.062,-46.875,233.398,0.000
1741704925.106,-1000.000,-67.383,-42.969,-1000.000,0.000
